instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_type,temp_smooth,hum_smooth,windspeed_smooth,cnt_smooth
39,2011-02-08,1,2011,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Weekday,0.23856100000000002,0.6531728571428571,0.1971623285714286,1522.0
40,2011-02-09,1,2011,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Weekday,0.22067285714285714,0.6130822857142857,0.18638104285714285,1533.2857142857142
41,2011-02-10,1,2011,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Weekday,0.21458585714285716,0.6130201428571428,0.17840718571428574,1531.5714285714287
42,2011-02-11,1,2011,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Weekday,0.21141257142857145,0.6017554285714286,0.1756516142857143,1537.0
43,2011-02-12,1,2011,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Weekend,0.209865,0.5467554285714286,0.18169275714285713,1603.7142857142858
44,2011-02-13,1,2011,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Weekend,0.21424914285714286,0.5309065714285714,0.19870461428571426,1598.857142857143
45,2011-02-14,1,2011,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,Weekday,0.2347252857142857,0.4791208571428571,0.2519188571428571,1627.5714285714287
46,2011-02-15,1,2011,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Weekday,0.24119014285714285,0.4471824285714286,0.24183657142857146,1668.2857142857142
47,2011-02-16,1,2011,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Weekday,0.26740128571428573,0.436996,0.25082971428571427,1741.142857142857
48,2011-02-17,1,2011,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,Weekday,0.309042,0.44665442857142856,0.2519967142857143,1875.0
49,2011-02-18,1,2011,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Weekday,0.35655285714285717,0.44812628571428575,0.27433599999999997,2043.7142857142858
50,2011-02-19,1,2011,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,Weekend,0.38179099999999994,0.39723342857142857,0.3177782857142857,2067.0
51,2011-02-20,1,2011,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Weekend,0.3773188571428571,0.39015271428571424,0.31240000000000007,2098.8571428571427
52,2011-02-21,1,2011,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,Weekday,0.36136642857142853,0.42289085714285707,0.29667685714285713,1983.7142857142858
53,2011-02-22,1,2011,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Weekday,0.3493857142857143,0.46052371428571426,0.2830067142857143,1931.5714285714287
54,2011-02-23,1,2011,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Weekday,0.3355968571428572,0.46046157142857147,0.2604812857142857,1903.2857142857142
55,2011-02-24,1,2011,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Weekday,0.315571,0.487946,0.2633944285714286,1807.857142857143
56,2011-02-25,1,2011,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Weekday,0.2930968571428571,0.5158755714285714,0.2750535714285714,1598.4285714285713
57,2011-02-26,1,2011,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Weekend,0.27643014285714285,0.5658755714285715,0.22921185714285713,1646.142857142857
58,2011-02-27,1,2011,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,Weekend,0.28475314285714287,0.6047575714285714,0.21521371428571429,1730.4285714285713
59,2011-02-28,1,2011,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Weekday,0.29960171428571425,0.6435238571428572,0.21261942857142854,1778.857142857143
60,2011-03-01,1,2011,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,Weekday,0.3116652857142857,0.6374127142857142,0.21558257142857143,1836.142857142857
61,2011-03-02,1,2011,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,Weekday,0.32784542857142857,0.6412041428571429,0.246114,1867.142857142857
62,2011-03-03,1,2011,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Weekday,0.31394271428571424,0.587053,0.24257942857142858,1849.7142857142858
63,2011-03-04,1,2011,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,Weekday,0.299274,0.5725162857142857,0.22212328571428572,1918.7142857142858
64,2011-03-05,1,2011,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,Weekend,0.3137978571428572,0.6084091428571429,0.23145185714285715,1934.142857142857
65,2011-03-06,1,2011,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,Weekend,0.3185184285714286,0.6467321428571429,0.2626002857142857,1677.4285714285713
66,2011-03-07,1,2011,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,Weekday,0.29772785714285716,0.600295,0.26998114285714286,1738.2857142857142
67,2011-03-08,1,2011,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,Weekday,0.3014182857142857,0.5839854285714285,0.256299,1778.5714285714287
68,2011-03-09,1,2011,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,Weekday,0.295823,0.6305331428571428,0.24377285714285715,1743.857142857143
69,2011-03-10,1,2011,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,Weekday,0.3230741428571428,0.585057,0.2489332857142857,1592.142857142857
70,2011-03-11,1,2011,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,Weekday,0.33091057142857144,0.5906495714285713,0.2531652857142857,1596.857142857143
71,2011-03-12,1,2011,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,Weekend,0.32305342857142855,0.5628518571428571,0.248723,1604.7142857142858
72,2011-03-13,1,2011,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,Weekend,0.3241714285714286,0.5027275714285714,0.2383397142857143,1863.5714285714287
73,2011-03-14,1,2011,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,Weekday,0.3332397142857143,0.4949637142857143,0.209136,1888.4285714285713
74,2011-03-15,1,2011,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,Weekday,0.33679557142857147,0.5285092857142857,0.21823014285714287,1877.4285714285713
75,2011-03-16,1,2011,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,Weekday,0.34670757142857145,0.5286671428571429,0.21579685714285715,1920.4285714285713
76,2011-03-17,1,2011,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,Weekday,0.35040885714285713,0.6147981428571428,0.20832571428571428,2223.4285714285716
77,2011-03-18,1,2011,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,Weekday,0.38233428571428574,0.5970341428571428,0.20804671428571428,2403.714285714286
78,2011-03-19,1,2011,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,Weekend,0.4028104285714286,0.5662604285714286,0.2291027142857143,2544.4285714285716
79,2011-03-20,1,2011,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,Weekend,0.39540357142857147,0.5585974285714286,0.22011942857142858,2552.1428571428573
80,2011-03-21,2,2011,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,Weekday,0.41043471428571426,0.592945142857143,0.24181328571428576,2556.5714285714284
81,2011-03-22,2,2011,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,Weekday,0.4281884285714286,0.5885067142857144,0.24773342857142858,2649.0
82,2011-03-23,2,2011,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,Weekday,0.4255798571428571,0.5975128571428572,0.2521825714285714,2638.8571428571427
83,2011-03-24,2,2011,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,Weekday,0.40700842857142855,0.6265008571428572,0.2570694285714286,2513.285714285714
84,2011-03-25,2,2011,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,Weekday,0.3676037142857143,0.6221841428571429,0.2570277142857143,2366.285714285714
85,2011-03-26,2,2011,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,Weekend,0.3380798571428571,0.624327,0.23437114285714286,2277.5714285714284
86,2011-03-27,2,2011,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,Weekend,0.32672885714285715,0.6272074285714285,0.23102528571428568,2166.4285714285716
87,2011-03-28,2,2011,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,Weekday,0.30300214285714283,0.5650335714285715,0.22008542857142857,2159.4285714285716
88,2011-03-29,2,2011,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,Weekday,0.28312114285714285,0.5206884285714286,0.22026342857142858,2119.714285714286
89,2011-03-30,2,2011,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,Weekday,0.27641299999999996,0.4931315714285714,0.21149585714285712,2036.142857142857
90,2011-03-31,2,2011,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,Weekday,0.274032,0.509203,0.20776142857142857,2010.4285714285713
91,2011-04-01,2,2011,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,Weekday,0.279151,0.5365244285714286,0.211759,2012.857142857143
92,2011-04-02,2,2011,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,Weekend,0.2861748571428571,0.5736077142857142,0.20998399999999998,1978.0
93,2011-04-03,2,2011,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,Weekend,0.30407342857142855,0.5716201428571429,0.20968585714285717,2200.285714285714
94,2011-04-04,2,2011,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,Weekday,0.34821414285714286,0.5893452857142857,0.23445257142857143,2355.5714285714284
95,2011-04-05,2,2011,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,Weekday,0.3641665714285714,0.6361904285714285,0.25746271428571427,2265.5714285714284
96,2011-04-06,2,2011,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,Weekday,0.3771427142857143,0.6110712857142858,0.27034485714285716,2447.285714285714
97,2011-04-07,2,2011,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,Weekday,0.40130942857142854,0.5660118571428572,0.26244,2655.285714285714
98,2011-04-08,2,2011,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,Weekday,0.4064284285714286,0.5874404285714286,0.25790914285714284,2547.285714285714
99,2011-04-09,2,2011,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,Weekend,0.41035699999999997,0.6194047142857143,0.2487572857142857,2576.285714285714
100,2011-04-10,2,2011,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,Weekend,0.41726185714285713,0.6733332857142857,0.24369357142857145,2525.714285714286
101,2011-04-11,2,2011,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,Weekday,0.4204502857142857,0.7148627142857144,0.23496542857142858,2559.0
102,2011-04-12,2,2011,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,Weekday,0.4330692857142857,0.7287318571428572,0.2187957142857143,2593.1428571428573
103,2011-04-13,2,2011,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,Weekday,0.4361645714285714,0.7784938571428572,0.21701771428571429,2500.8571428571427
104,2011-04-14,2,2011,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,Weekday,0.44045028571428574,0.7695652857142858,0.20964457142857143,2518.8571428571427
105,2011-04-15,2,2011,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,Weekday,0.45628371428571424,0.7459938571428572,0.20955642857142856,2755.285714285714
106,2011-04-16,2,2011,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,Weekend,0.46890271428571434,0.7475414285714287,0.23923142857142857,2518.1428571428573
107,2011-04-17,2,2011,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,Weekend,0.47318842857142857,0.6935532857142856,0.2616212857142857,2639.4285714285716
108,2011-04-18,2,2011,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,Weekday,0.46130957142857143,0.6686310000000001,0.23863457142857142,2651.0
109,2011-04-19,2,2011,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,Weekday,0.4617857142857143,0.6581547142857141,0.22193342857142856,2818.1428571428573
110,2011-04-20,2,2011,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,Weekday,0.4878571428571429,0.628869,0.2206917142857143,3072.714285714286
111,2011-04-21,2,2011,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,Weekday,0.48666671428571423,0.6098212857142856,0.25134285714285715,3204.4285714285716
112,2011-04-22,2,2011,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,Weekday,0.47095242857142855,0.6181545714285714,0.2503637142857143,2998.285714285714
113,2011-04-23,2,2011,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,Weekend,0.4751191428571428,0.6180951428571427,0.23463757142857142,3461.285714285714
114,2011-04-24,2,2011,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,Weekend,0.4929762857142857,0.6654165714285715,0.21873457142857142,3525.1428571428573
115,2011-04-25,2,2011,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,Weekday,0.5064287142857143,0.698869,0.22184399999999999,3617.1428571428573
116,2011-04-26,2,2011,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,Weekday,0.524405,0.7079167142857143,0.2459195714285714,3788.0
117,2011-04-27,2,2011,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,Weekday,0.5279764285714286,0.7395238571428572,0.25595885714285715,3777.714285714286
118,2011-04-28,2,2011,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,Weekday,0.5505954285714286,0.7814881428571429,0.25533742857142855,3759.0
119,2011-04-29,2,2011,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,Weekday,0.5753572857142857,0.7425595714285714,0.258272,4175.0
120,2011-04-30,2,2011,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,Weekend,0.5771430000000001,0.687619,0.25889342857142855,4357.285714285715
121,2011-05-01,2,2011,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,Weekend,0.5585715714285714,0.6806547142857143,0.24663328571428572,4237.285714285715
122,2011-05-02,2,2011,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,Weekday,0.5503572857142858,0.6739879999999999,0.24636485714285716,4284.142857142857
123,2011-05-03,2,2011,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,Weekday,0.5482144285714285,0.6694045714285713,0.2486744285714286,4291.428571428572
124,2011-05-04,2,2011,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,Weekday,0.5188097142857143,0.6553568571428572,0.2510738571428571,4114.428571428572
125,2011-05-05,2,2011,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,Weekday,0.4961907142857143,0.6186902857142857,0.24742871428571428,4168.0
126,2011-05-06,2,2011,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,Weekday,0.49178599999999995,0.6376784285714285,0.24574057142857142,4169.857142857143
127,2011-05-07,2,2011,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,Weekend,0.4985717142857143,0.6430951428571429,0.23507985714285715,4084.4285714285716
128,2011-05-08,2,2011,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,Weekend,0.509524,0.6244642857142857,0.23054892857142859,4224.714285714285
129,2011-05-09,2,2011,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,Weekday,0.507143,0.6042857142857142,0.22948407142857144,4219.142857142857
130,2011-05-10,2,2011,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,Weekday,0.49511914285714287,0.5745834285714285,0.19705607142857143,4269.428571428572
131,2011-05-11,2,2011,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,Weekday,0.5134524285714286,0.5597025714285715,0.1672912142857143,4490.714285714285
132,2011-05-12,2,2011,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,Weekday,0.5242857142857142,0.6030358571428571,0.15218764285714287,4552.285714285715
133,2011-05-13,2,2011,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,Weekday,0.5290475714285714,0.6420834285714285,0.14525607142857141,4480.428571428572
134,2011-05-14,2,2011,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,Weekend,0.5291665714285714,0.6965477142857143,0.14161321428571427,4294.0
135,2011-05-15,2,2011,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,Weekend,0.5340475714285714,0.7301785714285715,0.15280485714285713,4325.428571428572
136,2011-05-16,2,2011,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,Weekday,0.5404761428571428,0.758631,0.14578642857142857,4267.714285714285
137,2011-05-17,2,2011,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,Weekday,0.5446428571428571,0.8084524285714286,0.168884,4170.571428571428
138,2011-05-18,2,2011,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,Weekday,0.5457142857142857,0.8423214285714286,0.18043399999999998,4123.857142857143
139,2011-05-19,2,2011,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,Weekday,0.545119,0.8540475714285715,0.16879771428571427,4082.5714285714284
140,2011-05-20,2,2011,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,Weekday,0.5485714285714286,0.8335118571428571,0.16098171428571426,4198.571428571428
141,2011-05-21,2,2011,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,Weekend,0.5602381428571429,0.79125,0.15893885714285716,4540.857142857143
142,2011-05-22,2,2011,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,Weekend,0.5661905714285714,0.7744642857142857,0.1582287142857143,4556.142857142857
143,2011-05-23,2,2011,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,Weekday,0.5739287142857143,0.777619,0.1735102857142857,4601.285714285715
144,2011-05-24,2,2011,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,Weekday,0.5879762857142857,0.763749857142857,0.16347285714285714,4654.0
145,2011-05-25,2,2011,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,Weekday,0.6038095714285714,0.7389284285714285,0.15672157142857143,4814.428571428572
146,2011-05-26,2,2011,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,Weekday,0.6291667142857144,0.7172022857142857,0.16978285714285715,4829.0
147,2011-05-27,2,2011,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,Weekday,0.6498809999999999,0.7077975714285715,0.18630657142857143,4795.0
148,2011-05-28,2,2011,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,Weekend,0.6575,0.7224998571428571,0.20194114285714287,4645.428571428572
149,2011-05-29,2,2011,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,Weekend,0.6665475714285715,0.7323808571428572,0.21135971428571426,4663.714285714285
150,2011-05-30,2,2011,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,Weekday,0.6810712857142857,0.7145237142857143,0.19670014285714285,4638.571428571428
151,2011-05-31,2,2011,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,Weekday,0.6974998571428571,0.6996428571428572,0.18301971428571426,4565.714285714285
152,2011-06-01,2,2011,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,Weekday,0.7122618571428572,0.6969047142857143,0.190571,4422.285714285715
153,2011-06-02,2,2011,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,Weekday,0.7132142857142857,0.6436904285714286,0.203806,4463.857142857143
154,2011-06-03,2,2011,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,Weekday,0.7044047142857143,0.6008928571428571,0.20558342857142856,4554.285714285715
